annomese;regione;energia_tot;potenza_imp;tariffa;residenza;somma_pod
202510;Abruzzo;125,54;1,5;BTA1;Y;4
202510;Abruzzo;47980,624;1,5;BTIP;N/A;511
202510;Abruzzo;14,012;1,65;BTA2;N/A;1
202510;Abruzzo;89,308;1,7;TD;N;2
202510;Abruzzo;4048,193;2,0;TD;N;135
202510;Abruzzo;2933,134;2,2;BTIP;N;8
202510;Abruzzo;2685,671;2,8;BTIP;N/A;8
202510;Abruzzo;794,923;2,9;BTA2;N;6
202510;Abruzzo;25705,169;3,0;MTA1;N/A;16
202510;Abruzzo;17092,275;3,5;TD;N;196
202510;Abruzzo;10396,5;4,5;MTA1;N;11
202510;Abruzzo;156,45;4,5;TDE;N;1
202510;Abruzzo;1982,285;5,3;BTIP;N;2
202510;Abruzzo;2715,421;5,3;BTIP;N/A;5
202510;Abruzzo;1605,517;5,6;BTIP;N/A;3
202510;Abruzzo;310,274;6,9;TD;Y;1
202510;Abruzzo;1646,131;7,1;BTIP;N/A;2
202510;Abruzzo;3421,177;7,9;BTA4;N;13
202510;Abruzzo;7095,224;8,6;BTIP;N;2
202510;Abruzzo;6652,188;8,9;BTIP;N;4
202510;Abruzzo;358,091;10,0;BTVE;N/A;1
202510;Abruzzo;0,609;10,8;BTA5;N/A;1
202510;Abruzzo;1127,731;13,2;BTIP;N/A;1
202510;Abruzzo;955,12;14,4;BTIP;N;1
202510;Abruzzo;965,548;14,4;BTIP;N/A;1
202510;Abruzzo;1631,12;0,8;BTIP;N/A;7
202510;Abruzzo;1994,375;14,6;BTIP;N/A;1
202510;Abruzzo;193457,586;15,0;TD;N;299
202510;Abruzzo;3652,344;16,0;BTA6;N;3
202510;Abruzzo;5204,275;17,5;BTA6;N/A;2
202510;Abruzzo;2303,072;17,7;BTIP;N;1
202510;Abruzzo;2067,598;1,0;TD;Y;89
202510;Abruzzo;370,049;18,6;BTA6;N;1
202510;Abruzzo;1126,961;19,2;BTA6;N/A;1
202510;Abruzzo;1015,119;0,2;BTIP;N;13
202510;Abruzzo;3513,429;19,2;BTIP;N/A;1
202510;Abruzzo;539,996;1,1;BTIP;N/A;6
202510;Abruzzo;491,878;24,0;TD;Y;2
202510;Abruzzo;39839,531;25,0;TD;N;31
202510;Abruzzo;3233,641;26,0;TD;N/A;1
202510;Abruzzo;3947,983;26,5;BTA6;N/A;1
202510;Abruzzo;22546,939;27,0;BTIP;N;7
202510;Abruzzo;709,746;27,2;BTA6;N;1
202510;Abruzzo;98490,949;27,5;BTA6;N/A;43
202510;Abruzzo;5310,426;33,0;TD;N;3
202510;Abruzzo;64899,909;34,0;BTA6;N;17
202510;Abruzzo;90919,974;37,5;BTA6;N;27
202510;Abruzzo;12612,738;39,0;BTIP;N/A;2
202510;Abruzzo;61723,09;42,0;BTA6;N;19
202510;Abruzzo;153625,064;43,8;BTA6;N;38
202510;Abruzzo;105648,659;46,0;BTA6;N;20
202510;Abruzzo;1651172,026;50,0;BTA6;N;382
202510;Abruzzo;15530,488;50,0;TD;Y;2
202510;Abruzzo;102646,561;51,0;BTA6;N;12
202510;Abruzzo;19299,968;51,0;BTIP;N;3
202510;Abruzzo;29017,841;52,5;BTA6;N;3
202510;Abruzzo;176023,655;55,0;BTA6;N;39
202510;Abruzzo;84057,215;57,0;BTA6;N/A;14
202510;Abruzzo;27193,238;60,0;BTIP;N;2
202510;Abruzzo;41472,509;64,0;BTA6;N/A;12
202510;Abruzzo;1233,119;65,0;MTA1;N;2
202510;Abruzzo;5636,774;66,6;BTIP;N;1
202510;Abruzzo;104658,0;67,0;BTA6;N;10
202510;Abruzzo;42308,348;69,0;MTIP;N;2
202510;Abruzzo;1574,541;70,0;TD;N;2
202510;Abruzzo;8971,08;71,0;MTA1;N;1
202510;Abruzzo;5908,403;77,0;BTIP;N;1
202510;Abruzzo;72467,314;88,0;BTA6;N/A;11
202510;Abruzzo;1980,504;89,0;MTA1;N;1
202510;Abruzzo;30558,0;93,0;BTA6;N;1
202510;Abruzzo;1350,243;97,0;MTA1;N;1
202510;Abruzzo;60448,157;100,0;MTA1;N;15
202510;Abruzzo;14820,061;104,0;MTA2;N/A;1
202510;Abruzzo;755,872;108,0;MTA2;N;1
202510;Abruzzo;16930,279;111,0;MTA2;N;1
202510;Abruzzo;12553,53;118,4;BTA6;N;1
202510;Abruzzo;30881,703;129,0;BTA6;N;3
202510;Abruzzo;106,92;132,0;BTVE;N/A;1
